ticker,name,industry,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check Revenue GR,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
MA,Mastercard,Financial Transaction Services,2020-12-01,10,386.17,244.1,389.5,6.43,60.62,6.37,1.65,2.04,0.53,104.38,104.38,1.88,1.88,25.17,60.53,42.85,32.59,13.72,3.29,0.81,2.49,2.72,3.29,0.49,0.52,0.56,0.49,15.1,6.98,9.62,10.7,10.98,13.26,0.0,20.4,13.72,16.32,0,1,0,1,1,+,1+4,+,6714,15301,1.48,6.37,2684,7224
MASI,Masimo,Medical Instruments Manufacturing,2020-12-01,10,245.74,194.3,284.86,25.59,59.36,4.14,1.68,0.0,0.0,18.66,18.66,0.02,0.02,12.06,64.83,38.44,30.24,13.09,4.14,1.99,2.31,3.65,4.14,0.0,0.0,0.0,0.0,0.0,12.74,12.66,10.93,23.6,12.57,0.0,20.6,21.71,13.09,1,1,0,1,+,+,2+4+8+10,+,439,1144,1.05,4.14,79,211
MCD,McDonald's,Retail - Food & Restaurants,2020-12-01,10,233.08,167.85,234.26,-10.49,36.94,6.31,2.71,5.04,2.16,0.0,0.0,0.0,0.0,19.48,36.94,28.21,20.52,3.26,5.28,1.46,3.85,4.11,5.28,3.18,2.44,2.6,3.18,61.39,-5.58,-5.45,-2.23,0.87,-0.45,0.0,-0.32,5.62,3.26,0,1,0,1,1+3+4+5+6+7,+,1+6+7,+,27006,19207,5.27,6.31,7150,6265
MSFT,Microsoft,Computer Software,2020-06-01,10,260.74,166.11,261.0,17.27,38.86,6.71,2.57,2.09,0.8,42.7,40.14,0.49,0.57,23.0,56.22,39.61,22.67,10.62,5.97,3.08,2.97,3.86,5.97,2.42,1.36,1.87,2.42,52.9,16.72,8.85,8.63,29.43,8.97,0.0,28.57,31.23,10.62,0,1,0,1,5,+,3+6+9,+,69943,143015,2.69,5.76,26994,60675
MRNA,Moderna,Medical - Biomedical and Genetics,2020-12-01,5,170.81,43.11,189.26,6.39,-87.15,-1.96,-1.15,0.0,0.0,-39.99,-39.99,0.08,0.08,0.0,0.0,0.0,,0.0,-4.9,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2+3+5,1+2+3+4+5,1+2+3+4+5,2+3+4,108,803,-0.78,-1.96,67,2027
NFLX,Netflix,Broadcasting - Radio & TV,2020-12-01,10,546.54,393.6,593.29,24.98,89.89,6.08,1.11,0.0,0.0,29.62,29.62,1.43,1.43,76.01,402.32,239.16,173.29,30.55,1.27,1.61,1.13,0.88,1.27,0.0,0.0,0.0,0.0,0.0,28.82,29.82,27.73,86.42,32.88,0.0,69.43,85.08,30.55,1,1,0,0,+,+,6+9,2+3+4+5+6,3205,24996,0.59,6.08,318,2427
NKE,NIKE,Shoes & Related Apparel,2020-05-01,10,134.31,84.11,147.95,7.55,63.06,2.13,1.59,1.04,0.77,32.69,29.7,1.04,1.53,20.22,76.66,48.44,30.56,5.19,3.92,1.31,2.2,3.14,3.92,1.27,1.07,1.16,1.27,34.19,2.88,4.1,7.0,-4.95,2.91,0.0,-13.94,-2.86,5.19,0,1,0,1,1,+,1+3,+,20862,37403,1.1,1.6,1812,2485
NTDOY,,,2020-03-01,10,74.85,50.43,82.55,16.73,0.16,460.57,615.32,205.16,274.09,27.14,17.53,0.0,0.0,0.0,1.94,0.97,0.6,1.96,199.08,251.76,462.29,370.29,199.08,146.32,232.98,199.26,146.32,39.72,38.82,18.94,-0.91,43.95,1.24,0.0,36.49,43.77,1.96,0,0,0,0,4+5+6+7+8+9+10,7+9,5+6+7+8+9+10,7+8+9,1014345,1308519,75.87,271.4,78103,347753
NVAX,Novavax,Medical - Biomedical and Genetics,2020-12-01,10,227.35,16.41,331.68,8.49,-31.27,-7.27,-3.2,0.0,0.0,-189.6,-189.6,0.58,0.58,0.0,0.0,0.0,,0.0,-34.91,41.78,-57.37,-60.9,-34.91,0.0,0.0,0.0,0.0,0.0,148.01,67.33,106.16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2+5+8,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,15,476,-3.4,-7.27,-24,-43
NVDA,NVIDIA,Semiconductor - General,2021-01-01,10,636.5,267.11,648.57,27.25,92.25,6.9,1.08,0.64,0.1,29.78,29.78,0.39,0.39,21.55,92.38,56.96,33.22,12.7,4.19,2.18,2.63,2.45,4.19,0.74,0.27,0.3,0.74,17.87,19.74,27.19,16.75,47.81,32.84,0.0,12.7,44.91,31.99,0,1,0,1,2+8,+,2+6+8+9,+,3998,16675,0.94,6.9,909,5822
NXPI,NXP Semiconductors,Semiconductor - Analog & Mixed,2020-12-01,10,199.38,80.46,216.43,32.44,1107.67,0.18,0.09,1.5,0.75,0.57,0.57,0.85,0.85,0.0,1329.2,664.6,160.48,0.0,3.87,4.01,3.41,3.3,3.87,0.26,0.88,0.53,0.26,7.92,-2.38,7.14,6.94,-49.13,0.0,0.0,-69.6,-50.57,0.0,0,0,0,1,1+2+4+10,9,1+2+4+5+8+9+10,+,4194,8612,1.57,0.18,195,2482
ORCL,Oracle,Computer Software,2020-05-01,10,78.95,50.86,79.34,3.09,18.93,4.17,5.28,0.96,1.22,110.91,59.87,7.14,5.73,15.23,58.77,37.0,19.8,6.86,5.8,1.61,4.6,4.92,5.8,1.36,1.72,1.66,1.36,28.12,1.17,0.44,3.83,0.39,5.15,0.0,11.7,6.86,9.79,0,1,0,1,1+2+5+6,+,3+5+6,+,35622,39068,1.67,3.08,11214,13139
PFE,Pfizer,Large Cap Pharmaceutical,2020-12-01,10,38.57,29.95,43.08,11.34,22.56,1.71,4.43,1.52,3.94,15.22,15.22,0.56,0.56,8.31,23.95,16.13,14.95,5.3,7.83,3.34,5.92,6.76,7.83,4.43,3.95,4.13,4.43,71.52,-7.26,-3.02,-4.7,6.68,1.54,0.0,-21.39,9.03,5.3,0,1,0,1,1+2+4+6+7+8+9+10,+,1+3+6+7,+,67425,41908,1.27,1.71,20240,14403
PLNT,Planet Fitness,Leisure & Recreation Services,2020-12-01,8,88.3,45.87,90.34,-8.15,-464.74,-0.19,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.29,440.14,57.21,0.0,1.44,0.93,1.17,1.44,0.0,0.0,0.0,0.0,0.0,0.0,-1.84,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1+8,1,1+4+7+8,+,211,407,0.72,-0.19,67,31
PYPL,PayPal Holdings,Internet Software,2020-12-01,9,269.87,107.41,309.14,17.05,76.23,3.54,1.31,0.0,0.0,22.77,22.77,0.45,0.45,32.6,79.92,56.26,50.34,28.77,2.07,0.46,1.82,2.07,0.0,0.0,0.0,0.0,0.0,0.0,17.89,18.33,0.0,27.89,0.0,0.0,34.04,28.77,0.0,0,1,0,1,9,+,7+8+9,+,5662,21454,0.0,3.54,1565,5854
QCOM,QUALCOMM,Wireless Equipment Manufacturers,2020-09-01,10,138.21,71.75,167.94,6.5,23.67,5.84,4.23,2.57,1.86,113.14,94.63,2.06,2.51,0.0,37.93,18.96,17.64,7.02,5.0,3.65,1.23,2.74,5.0,3.02,3.04,3.46,3.02,50.54,1.82,-1.42,7.91,-0.28,4.82,0.0,39.92,7.02,8.71,0,0,0,1,1+4+5+6,3,2+3+4+6,+,14957,23531,2.52,4.52,4900,5814
RGEN,Repligen,Medical - Biomedical and Genetics,2020-12-01,9,213.3,102.13,228.84,27.92,192.16,1.11,0.52,0.0,0.0,4.63,4.63,0.02,0.02,51.1,214.53,132.82,98.85,15.52,1.99,2.05,0.59,0.97,0.0,0.0,0.0,0.0,0.0,0.0,37.39,34.39,30.44,45.01,0.0,0.0,15.52,31.71,0.0,0,1,0,1,7,+,3+7+9,+,62,366,0.45,1.11,13,63
SE,,,2019-12-01,6,252.42,50.35,285.0,6.51,-86.45,-2.92,-1.16,0.0,0.0,-138.26,-318.25,2.81,1.3,0.0,0.0,0.0,,0.0,-16.71,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.63,68.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,1+2+3+4+5+6,1+2+3+4+5+6,2+3+4+5,161,2175,-0.34,-3.35,2,70
SBUX,Starbucks,Retail - Food & Restaurants,2020-09-01,10,118.34,70.65,118.5,-6.72,207.61,0.57,0.48,1.68,1.42,0.0,0.0,0.0,0.0,14.56,211.32,112.94,33.61,2.45,3.47,1.67,3.43,3.61,3.47,1.67,1.98,1.91,1.67,77.92,1.66,4.18,8.19,-19.57,-0.18,0.0,-26.26,-15.37,2.45,0,1,0,1,1,+,1+2+7+8,+,11700,23518,0.81,0.79,1612,1597
SEDG,SolarEdge Technologies,Solar Equipment and Services,2020-12-01,9,258.71,85.69,377.0,21.05,97.26,2.66,1.03,0.0,0.0,14.79,14.79,0.58,0.58,9.36,117.32,63.34,38.92,12.87,5.06,2.93,3.85,5.06,0.0,0.0,0.0,0.0,0.0,0.0,33.96,31.33,0.0,41.02,0.0,0.0,12.87,51.47,0.0,0,0,0,0,9,7+8+9,1+6+7+8+9,7+8+9,75,1459,-0.73,2.66,-22,223
SONY,Sony,Audio & Video Home Production,2020-03-01,10,111.1,61.35,118.5,39.94,0.13,863.19,776.95,49.87,44.89,22.39,14.79,0.19,0.23,0.0,89.95,44.98,32.81,100.89,-15.64,1057.66,1090.91,783.0,-15.64,89.65,72.25,70.78,89.65,5.52,2.8,0.11,1.36,0.0,0.0,0.0,100.89,0.0,0.0,0,0,0,1,1+4+5+9+10,6+7+9+10,1+4+5+6+7+8+9+10,+,7181273,8259885,-258.66,461.23,616245,1349745
SPOT,Spotify Technology SA,Technology Services,2020-12-01,6,292.02,136.62,387.44,17.62,-94.2,-3.1,-1.06,0.0,0.0,-24.0,-24.0,0.21,0.21,0.0,0.0,0.0,,0.0,-0.84,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.43,32.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,1+2+3+4+5+6,1+2+3+4+5+6,6,1940,7880,-1.37,-3.1,-38,259
SSTK,Shutterstock,Internet Content,2020-12-01,10,99.98,33.45,104.57,11.64,50.75,1.97,1.97,0.68,0.68,19.14,19.14,0.1,0.1,22.98,83.25,53.12,66.02,16.32,1.93,1.08,2.82,2.34,0.0,0.12,0.32,0.19,0.0,3.64,6.17,9.41,23.17,29.7,14.25,0.0,61.23,29.54,16.32,1,1,0,1,+,+,2+4+6+7+8,+,120,667,0.64,1.97,40,165
TCEHY,,,2020-12-01,10,81.0,50.9,99.4,11.22,4.9,16.52,20.4,1.11,1.37,28.13,28.13,0.35,0.35,3.66,7.76,5.71,5.5,30.13,19.04,4.08,21.3,19.23,19.04,1.56,1.75,1.59,1.56,8.85,26.57,36.2,37.72,40.88,34.83,0.0,30.13,40.16,34.29,1,1,1,1,+,+,+,+,28496,482064,1.1,16.52,13358,194119
TER,Teradyne,Electrical Test Equipment,2020-12-01,10,129.48,56.42,147.9,13.27,30.25,4.28,3.31,0.4,0.31,42.49,42.49,0.19,0.19,0.0,40.21,20.1,24.29,9.48,4.7,3.43,5.0,3.45,4.7,0.58,0.67,0.73,0.58,13.61,13.47,13.74,6.85,30.59,7.52,0.0,49.54,34.57,9.48,0,0,0,1,3+6+8+10,5,4+5+7+8+9+10,+,1429,3121,1.63,4.28,274,869
TSLA,Tesla,Auto Manufacturers - Domestic,2020-12-01,10,739.78,134.76,900.4,23.15,1155.91,0.64,0.09,0.0,0.0,4.78,4.78,0.49,0.49,0.0,1181.76,590.88,1127.27,0.0,-3.28,3.48,-0.93,-1.76,-3.28,0.0,0.0,0.0,0.0,0.0,38.94,50.78,75.05,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,+,2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,4+5+6+7+9+10,204,31536,-0.51,0.64,-114,5943
TTD,Trade Desk,Internet Services,2020-12-01,6,718.86,212.5,972.8,21.32,145.22,4.95,0.69,0.0,0.0,29.81,29.81,0.25,0.25,39.77,177.66,108.72,94.78,52.51,1.41,0.74,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.46,49.0,0.0,72.36,0.0,0.0,62.67,52.51,0.0,1,1,0,0,+,+,4+5+6,6,114,836,0.17,4.95,-37,405
TTWO,Take-Two Interactive Software,"Toys, Games and Hobby Products",2020-03-01,10,178.8,118.01,214.91,27.39,41.87,4.27,2.39,0.0,0.0,17.74,17.66,0.05,0.06,0.0,632.0,316.0,47.36,70.04,0.25,7.15,2.54,1.71,0.25,0.0,0.0,0.0,0.0,0.0,20.18,23.32,11.77,0.0,0.0,0.0,70.04,0.0,0.0,0,0,0,0,6+9+10,5+6+8+9,4+5+6+7+8+9+10,8+9,1137,3089,0.56,3.54,135,686
TWTR,Twitter,Internet Software,2020-12-01,10,70.12,25.05,80.75,9.98,-48.69,-1.44,-2.05,0.0,0.0,-13.62,-13.62,0.43,0.43,0.0,145.57,72.78,17.74,0.0,-0.3,3.87,2.87,0.8,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.87,62.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,1+4+5+6+7+8+9+10,1+3+4+5+6+7+8+9+10,9+10,106,3716,-1.6,-1.44,-71,993
U,Unity Software,Internet Software,2020-12-01,3,100.74,65.11,174.94,7.33,-60.69,-1.66,-1.65,0.0,0.0,-32.37,-32.37,0.05,0.05,0.0,0.0,0.0,,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,1+2+3,1+2+3,2+3,381,772,-0.58,-1.66,-81,20
UBER,Uber Technologies,Internet Services,2020-12-01,5,60.35,26.58,64.05,6.57,-15.63,-3.86,-6.4,0.0,0.0,-51.16,-51.16,0.75,0.75,0.0,0.0,0.0,,0.0,-7.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1+5,1+2+4+5,1+2+3+4+5,1+2+3+4+5,3845,11139,-0.25,-3.86,-2913,-2745
UPWK,Upwork,Internet Services,2020-12-01,5,49.01,7.12,63.88,2.4,-257.95,-0.19,-0.39,0.0,0.0,-8.19,-8.19,0.08,0.08,0.0,0.0,0.0,,0.0,-0.98,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,1+2+3+4+5,1+2+3+4+5,4,164,374,-0.17,-0.19,3,22
V,Visa,Financial Transaction Services,2020-09-01,10,226.41,159.15,228.23,15.91,46.68,4.85,2.14,1.22,0.54,33.6,36.01,0.62,0.68,26.13,46.78,36.46,30.57,13.64,3.55,1.14,2.85,2.87,3.55,0.67,0.58,0.62,0.67,21.03,5.97,9.5,10.48,11.42,13.86,0.0,20.43,13.64,17.17,0,1,0,1,1,+,1+5+9,+,9188,21846,1.29,4.89,3872,10440
WING,Wingstop,Retail - Food & Restaurants,2020-12-01,9,137.25,101.73,172.87,-11.5,175.96,0.78,0.57,0.5,0.36,0.0,0.0,0.0,0.0,35.38,173.73,104.56,90.7,16.72,1.4,0.7,0.87,1.4,0.0,0.36,0.46,0.36,0.0,15.32,33.09,26.12,0.0,18.19,0.0,0.0,-5.69,16.72,0.0,0,1,0,1,9,+,2+3+9,+,52,249,0.13,0.78,10,66
WORK,Slack Technologies,Technology Services,2021-01-01,5,42.23,24.09,44.57,1.44,-79.68,-0.53,-1.26,0.0,0.0,-38.92,-38.92,1.05,1.05,0.0,0.0,0.0,,0.0,-4.08,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,1+2+3+4+5,1+2+3+4+5,2+3+4+5,105,903,-0.28,-0.53,-90,72
ZM,Zoom Video Communications,Internet Software,2021-01-01,4,329.95,132.67,588.84,13.14,146.64,2.25,0.68,0.0,0.0,28.61,28.61,0.02,0.02,146.64,953.75,550.19,559.56,0.0,0.36,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,+,4,1+3+4,+,151,2651,-0.03,2.25,19,1471
NTES,NetEase,Internet Software & Services,2019-12-01,10,106.8,64.88,134.33,18.32,5.16,20.68,19.36,10.96,10.26,19.03,39.81,0.0,0.0,11.79,34.95,23.37,16.71,22.99,45.71,16.49,33.16,34.66,45.71,6.03,9.06,8.71,6.03,14.87,15.77,38.29,31.76,34.88,27.64,0.0,22.99,35.12,27.62,0,1,0,1,1+10,+,2+3+10,+,5508,59241,3.45,32.65,2855,17216
PINS,Pinterest,Internet Software,2020-12-01,4,76.22,15.82,89.9,3.53,-346.45,-0.22,-0.29,0.0,0.0,-6.02,-6.02,0.06,0.06,0.0,0.0,0.0,,0.0,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,1+2+3+4,1+2+3+4,3+4,473,1693,-0.29,-0.22,-103,29
SHOP,Shopify,Internet Services,2020-12-01,9,1207.8,539.0,1499.75,52.16,466.33,2.59,0.21,0.0,0.0,6.79,6.79,0.14,0.14,0.0,651.57,325.79,443.9,0.0,-0.38,0.39,-0.16,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,63.25,70.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,2+3+4+5+6+7+8+9,1+2+3+4+5+6+7+8+9,7,24,2929,-0.02,2.59,2,425
